Jogador,Idade,Selecao,Posicao,Time,URL
Ben Davies,29,Wales,DF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Nasser Al-Dawsari,23,Saudi Arabia,FW,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Salem Al-Dawsari,31,Saudi Arabia,MF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Giorgian De Arrascaeta,28,Uruguay,MF,BR Flamengo,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Kevin De Bruyne,31,Belgium,MFFW,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Charles De Ketelaere,21,Belgium,FW,IT Milan,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Nicolás De La Cruz,25,Uruguay,MF,AR River Plate,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Rodrigo De Paul,28,Argentina,MF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Miloš Degenek,28,Australia,DF,US Columbus Crew,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Thomas Delaney,31,Denmark,MF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Ousmane Dembélé,25,France,FW,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Leander Dendoncker,27,Belgium,DF,ENG Aston Villa,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Memphis Depay,28,Netherlands,FW,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Sergiño Dest,22,United States,DF,IT Milan,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ángel Di María,34,Argentina,MF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Boulaye Dia,26,Senegal,FW,IT Salernitana,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Abdou Diallo,26,Senegal,DF,DE RB Leipzig,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Rúben Dias,25,Portugal,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Krépin Diatta,23,Senegal,FWMF,FR Monaco,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Famara Diedhiou,29,Senegal,FW,TR Alanyaspor,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Bamba Dieng,22,Senegal,FW,FR Marseille,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Eric Dier,28,England,DF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Alexander Djiku,28,Ghana,DFFW,FR Strasbourg,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Ritsu Doan,24,Japan,FW,DE Freiburg,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Kasper Dolberg,25,Denmark,FW,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Mohamed Dräger,26,Tunisia,DF,CH Luzern,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Óscar Duarte,33,Costa Rica,DF,SA Al-Wehda,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Mitchell Duke,31,Australia,FW,JP Fagi Okayama,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Denzel Dumfries,26,Netherlands,DF,IT Inter,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Jorge Eduardo Sánchez,24,Mexico,DF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Nico Elvedi,26,Switzerland,DF,DE M'Gladbach,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Breel Embolo,25,Switzerland,FW,FR Monaco,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Youssef En-Nesyri,25,Morocco,FW,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Wataru Endo,29,Japan,MF,DE Stuttgart,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Devis Epassy,29,Cameroon,GK,SA Abha,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Christian Eriksen,30,Denmark,MF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Michael Estrada,26,Ecuador,FW,MX Cruz Azul,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Pervis Estupiñán,24,Ecuador,DF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Stephen Eustáquio,25,Canada,MF,PT Porto,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Saeid Ezatolahi,26,IR Iran,MF,DK Vejle BK,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Abdessamad Ezzalzouli,20,Morocco,FW,ES Osasuna,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Collins Fai,30,Cameroon,DF,SA Al-Ta'ee,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Salman Al-Faraj,33,Saudi Arabia,MF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
João Félix,23,Portugal,FW,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Bruno Fernandes,28,Portugal,MFFW,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Edimilson Fernandes,26,Switzerland,FWDF,DE Mainz 05,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Enzo Fernández,21,Argentina,MF,PT Benfica,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Phil Foden,22,England,FWMF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Youssouf Fofana,23,France,MF,FR Monaco,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Alan Franco,24,Ecuador,MF,AR Talleres,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Przemysław Frankowski,27,Poland,MF,FR Lens,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Fred,29,Brazil,MF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Fabian Frei,33,Switzerland,MF,CH Basel,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Remo Freuler,30,Switzerland,MF,ENG Nott'ham Forest,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Keysher Fuller,28,Costa Rica,DFMF,CR Club Sport Herediano,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Niclas Füllkrug,29,Germany,FW,DE Werder Bremen,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Cody Gakpo,23,Netherlands,FWMF,NL PSV Eindhoven,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Hernán Galíndez,35,Ecuador,GK,EC SD Aucas,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Jesús Gallardo,28,Mexico,DF,MX Monterrey,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Idrissa Gana Gueye,33,Senegal,MF,ENG Everton,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Gavi,18,Spain,MF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Sultan Al-Ghanam,28,Saudi Arabia,DFMF,SA Al-Nassr,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Saman Ghoddos,29,IR Iran,MF,ENG Brentford,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Ali Gholizadeh,26,IR Iran,MFFW,BE Charleroi,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Olivier Giroud,36,France,FW,IT Milan,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Kamil Glik,34,Poland,DF,IT Benevento,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Serge Gnabry,27,Germany,FW,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Diego Godín,36,Uruguay,DF,AR Vélez Sarsf,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Maxi Gómez,26,Uruguay,FW,TR Trabzonspor,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Papu Gómez,34,Argentina,MF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Shūichi Gonda,33,Japan,GK,JP S-Pulse,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Craig Goodwin,30,Australia,MF,AU Adelaide,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Leon Goretzka,27,Germany,MF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Mario Götze,30,Germany,MF,DE Eint Frankfurt,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Jack Grealish,27,England,FW,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Antoine Griezmann,31,France,MF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Carlos Gruezo,27,Ecuador,MF,DE Augsburg,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Marko Grujić,26,Serbia,MF,PT Porto,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Andrés Guardado,36,Mexico,MF,ES Betis,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Nemanja Gudelj,31,Serbia,MF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Raphaël Guerreiro,28,Portugal,DF,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Cho Guesung,24,Korea Republic,FW,KR Jeonbuk,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Pape Gueye,23,Senegal,MF,FR Marseille,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Bruno Guimarães,25,Brazil,MF,ENG Newcastle Utd,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
İlkay Gündoğan,32,Germany,MF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Erick Gutiérrez,27,Mexico,MF,NL PSV Eindhoven,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Joško Gvardiol,20,Croatia,DF,DE RB Leipzig,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Asiri Haitham,21,Saudi Arabia,FW,SA Al-Ahli,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Ehsan Hajsafi,32,IR Iran,MFDF,GR AEK Athens,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Achraf Hakimi,24,Morocco,DF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Abderrazak Hamdallah,31,Morocco,FW,SA Al-Ittihad,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Abdelkarim Hassan,29,Qatar,DF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Abdulaziz Hatem,32,Qatar,MF,QA Al Rayyan SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Kai Havertz,23,Germany,FW,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Hassan Al-Haydos,31,Qatar,MF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Eden Hazard,31,Belgium,MF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Thorgan Hazard,29,Belgium,FW,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Jordan Henderson,32,England,MF,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Wayne Hennessey,35,Wales,GK,ENG Nott'ham Forest,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Lucas Hernández,26,France,DF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Theo Hernández,25,France,DF,IT Milan,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Héctor Herrera,32,Mexico,MF,US Houston Dynamo,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Son Heung-min,30,Korea Republic,FW,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Piero Hincapié,20,Ecuador,DF,DE Leverkusen,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Jonas Hofmann,30,Germany,FW,DE M'Gladbach,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Junior Hoilett,32,Canada,MFFW,ENG Reading,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Martin Hongla,24,Cameroon,MF,IT Hellas Verona,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Hossein Hosseini,30,IR Iran,GK,IR Esteghlal,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Majid Hosseini,26,IR Iran,DF,TR Kayserispor,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Ajdin Hrustic,26,Australia,FW,IT Hellas Verona,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Atiba Hutchinson,39,Canada,MF,TR Beşiktaş,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Pierre Højbjerg,27,Denmark,MF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Romario Ibarra,28,Ecuador,MF,MX Pachuca,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Ivan Ilić,21,Serbia,MF,IT Hellas Verona,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Hwang In-beom,26,Korea Republic,MF,GR Olympiacos,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Jackson Irvine,29,Australia,MF,DE St,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
